id	replicate	gDNA	ATAC	H3K27ac
genomic_random_01	1	578	24	105
genomic_random_02	1	561	12	21
genomic_random_03	1	523	11	78
genomic_random_04	1	330	91	70
genomic_random_05	1	1153	23	54
genomic_random_06	1	136	6	18
genomic_random_07	1	1702	131	95
genomic_random_08	1	380	23	32
genomic_random_09	1	1076	19	3
genomic_random_10	1	633	7	60
genomic_random_11	1	786	36	28
genomic_random_12	1	258	4	5
genomic_random_13	1	464	42	73
genomic_random_14	1	734	0	18
genomic_random_15	1	1783	63	73
genomic_random_16	1	1761	67	82
genomic_random_17	1	397	3	13
genomic_random_18	1	1513	60	99
genomic_random_19	1	498	43	120
genomic_random_20	1	1088	43	96
genomic_random_21	1	431	3	8
genomic_random_22	1	2183	100	105
genomic_random_23	1	1221	109	72
genomic_random_24	1	467	17	12
genomic_random_25	1	265	14	4
genomic_random_26	1	373	10	8
genomic_random_27	1	672	22	30
genomic_random_28	1	3209	76	120
genomic_random_29	1	1686	128	91
genomic_random_30	1	572	69	33
genomic_random_31	1	1111	87	97
genomic_random_32	1	451	0	15
genomic_random_33	1	937	55	58
genomic_random_34	1	263	20	38
genomic_random_35	1	316	0	8
genomic_random_36	1	620	65	80
genomic_random_37	1	647	60	0
genomic_random_38	1	1836	107	117
genomic_random_39	1	670	5	21
genomic_random_40	1	808	34	19
genomic_random_41	1	1307	40	28
genomic_random_42	1	244	17	0
genomic_random_43	1	1812	109	155
genomic_random_44	1	24	0	11
genomic_random_45	1	1048	36	72
genomic_random_46	1	826	37	143
genomic_random_47	1	404	20	0
genomic_random_48	1	1212	11	28
genomic_random_49	1	1660	48	194
genomic_random_50	1	105	20	0
DNasePeakNoPromoter_02_shuffled	1	2070	61	130
DNasePeakNoPromoter_03_shuffled	1	2683	187	138
DNasePeakNoPromoter_04_shuffled	1	23	0	0
DNasePeakNoPromoter_05_shuffled	1	1391	69	94
DNasePeakNoPromoter_06_shuffled	1	2194	87	126
DNasePeakNoPromoter_08_shuffled	1	1008	20	33
DNasePeakNoPromoter_11_shuffled	1	840	56	7
DNasePeakNoPromoter_13_shuffled	1	1036	49	47
DNasePeakNoPromoter_14_shuffled	1	1599	103	143
DNasePeakNoPromoter_15_shuffled	1	494	27	26
DNasePeakNoPromoter_18_shuffled	1	415	5	41
DNasePeakNoPromoter_19_shuffled	1	1272	3	21
DNasePeakNoPromoter_20_shuffled	1	2018	62	65
DNasePeakNoPromoter_25_shuffled	1	831	20	76
DNasePeakNoPromoter_27_shuffled	1	1517	64	79
DNasePeakNoPromoter_29_shuffled	1	46	8	4
DNasePeakNoPromoter_32_shuffled	1	161	0	16
DNasePeakNoPromoter_33_shuffled	1	618	0	24
DNasePeakNoPromoter_41_shuffled	1	850	7	58
DNasePeakNoPromoter_45_shuffled	1	768	33	16
DNasePeakNoPromoter_46_shuffled	1	640	14	17
DNasePeakNoPromoter_47_shuffled	1	1829	412	387
DNasePeakNoPromoter_51_shuffled	1	1370	68	90
DNasePeakNoPromoter_52_shuffled	1	2089	54	121
DNasePeakNoPromoter_53_shuffled	1	2197	435	769
DNasePeakNoPromoter_55_shuffled	1	729	18	11
DNasePeakNoPromoter_58_shuffled	1	1394	205	307
DNasePeakNoPromoter_59_shuffled	1	947	34	71
DNasePeakNoPromoter_60_shuffled	1	2743	109	81
DNasePeakNoPromoter_61_shuffled	1	1195	47	67
DNasePeakNoPromoter_64_shuffled	1	996	35	184
DNasePeakNoPromoter_66_shuffled	1	819	29	48
DNasePeakNoPromoter_67_shuffled	1	1547	108	122
DNasePeakNoPromoter_70_shuffled	1	1538	61	84
DNasePeakNoPromoter_71_shuffled	1	1819	10	165
DNasePeakNoPromoter_72_shuffled	1	875	14	6
DNasePeakNoPromoter_73_shuffled	1	1192	56	88
DNasePeakNoPromoter_75_shuffled	1	202	0	1
DNasePeakNoPromoter_76_shuffled	1	1021	37	76
DNasePeakNoPromoter_81_shuffled	1	2014	82	127
DNasePeakNoPromoter_83_shuffled	1	435	7	28
DNasePeakNoPromoter_85_shuffled	1	828	59	0
DNasePeakNoPromoter_87_shuffled	1	930	33	37
DNasePeakNoPromoter_91_shuffled	1	1226	75	26
DNasePeakNoPromoter_92_shuffled	1	1083	6	91
DNasePeakNoPromoter_93_shuffled	1	1468	28	45
DNasePeakNoPromoter_94_shuffled	1	1181	228	60
DNasePeakNoPromoter_96_shuffled	1	1039	80	104
DNasePeakNoPromoter_98_shuffled	1	900	25	30
DNasePeakNoPromoter_99_shuffled	1	1456	59	110
DNasePeakNoPromoter_02	1	1639	76	98
DNasePeakNoPromoter_03	1	1196	30	53
DNasePeakNoPromoter_04	1	1394	6	254
DNasePeakNoPromoter_05	1	1181	28	68
DNasePeakNoPromoter_06	1	658	415	160
DNasePeakNoPromoter_08	1	1448	96	52
DNasePeakNoPromoter_11	1	918	88	41
DNasePeakNoPromoter_13	1	618	60	78
DNasePeakNoPromoter_14	1	1118	55	64
DNasePeakNoPromoter_15	1	1487	24	93
DNasePeakNoPromoter_18	1	1453	45	151
DNasePeakNoPromoter_19	1	846	12	18
DNasePeakNoPromoter_20	1	1531	34	38
DNasePeakNoPromoter_25	1	1109	49	19
DNasePeakNoPromoter_27	1	1282	72	41
DNasePeakNoPromoter_29	1	849	39	132
DNasePeakNoPromoter_32	1	336	175	33
DNasePeakNoPromoter_33	1	1456	70	123
DNasePeakNoPromoter_41	1	0	0	4
DNasePeakNoPromoter_45	1	640	7	56
DNasePeakNoPromoter_46	1	905	65	120
DNasePeakNoPromoter_47	1	1300	44	21
DNasePeakNoPromoter_51	1	1612	126	125
DNasePeakNoPromoter_52	1	837	16	21
DNasePeakNoPromoter_53	1	466	36	49
DNasePeakNoPromoter_55	1	1132	3	62
DNasePeakNoPromoter_58	1	1238	103	154
DNasePeakNoPromoter_59	1	522	19	12
DNasePeakNoPromoter_60	1	793	40	100
DNasePeakNoPromoter_61	1	775	104	91
DNasePeakNoPromoter_64	1	877	105	64
DNasePeakNoPromoter_66	1	1526	81	46
DNasePeakNoPromoter_67	1	1232	123	33
DNasePeakNoPromoter_70	1	512	26	1
DNasePeakNoPromoter_71	1	460	30	8
DNasePeakNoPromoter_72	1	609	0	13
DNasePeakNoPromoter_73	1	1889	21	30
DNasePeakNoPromoter_75	1	1108	127	90
DNasePeakNoPromoter_76	1	2063	205	139
DNasePeakNoPromoter_81	1	1059	79	126
DNasePeakNoPromoter_83	1	1523	65	34
DNasePeakNoPromoter_85	1	755	70	59
DNasePeakNoPromoter_87	1	486	45	33
DNasePeakNoPromoter_91	1	1678	89	123
DNasePeakNoPromoter_92	1	1154	97	55
DNasePeakNoPromoter_93	1	1554	101	131
DNasePeakNoPromoter_94	1	618	14	36
DNasePeakNoPromoter_96	1	1300	35	63
DNasePeakNoPromoter_98	1	1330	86	74
DNasePeakNoPromoter_99	1	1983	116	134
DNasePeakNoPromoter_lowest_01	1	1884	60	73
DNasePeakNoPromoter_lowest_02	1	3898	268	62
DNasePeakNoPromoter_lowest_03	1	1715	91	63
DNasePeakNoPromoter_lowest_04	1	1870	95	9
DNasePeakNoPromoter_lowest_05	1	2315	110	17
DNasePeakNoPromoter_lowest_06	1	1530	109	49
DNasePeakNoPromoter_lowest_07	1	635	39	0
DNasePeakNoPromoter_lowest_08	1	1238	35	34
DNasePeakNoPromoter_lowest_09	1	2069	46	31
DNasePeakNoPromoter_lowest_10	1	1030	16	15
DNasePeakNoPromoter_lowest_11	1	1491	37	43
DNasePeakNoPromoter_lowest_12	1	200	0	33
DNasePeakNoPromoter_lowest_13	1	572	0	0
DNasePeakNoPromoter_lowest_14	1	1854	125	113
DNasePeakNoPromoter_lowest_15	1	981	11	18
DNasePeakNoPromoter_lowest_16	1	2061	72	55
DNasePeakNoPromoter_lowest_17	1	437	0	7
DNasePeakNoPromoter_lowest_18	1	1382	99	45
DNasePeakNoPromoter_lowest_19	1	800	25	32
DNasePeakNoPromoter_lowest_20	1	476	9	6
DNasePeakNoPromoter_lowest_21	1	502	17	0
DNasePeakNoPromoter_lowest_22	1	868	71	75
DNasePeakNoPromoter_lowest_23	1	2114	62	74
DNasePeakNoPromoter_lowest_24	1	1052	0	0
DNasePeakNoPromoter_lowest_25	1	846	57	30
DNasePeakNoPromoter_lowest_26	1	237	7	0
DNasePeakNoPromoter_lowest_27	1	1160	31	4
DNasePeakNoPromoter_lowest_28	1	1662	97	14
DNasePeakNoPromoter_lowest_29	1	2503	150	64
DNasePeakNoPromoter_lowest_30	1	1358	55	26
DNasePeakNoPromoter_lowest_31	1	797	25	78
DNasePeakNoPromoter_lowest_32	1	879	65	6
DNasePeakNoPromoter_lowest_33	1	2647	95	70
DNasePeakNoPromoter_lowest_34	1	861	72	24
DNasePeakNoPromoter_lowest_35	1	1921	168	202
DNasePeakNoPromoter_lowest_36	1	1870	35	7
DNasePeakNoPromoter_lowest_37	1	918	8	15
DNasePeakNoPromoter_lowest_38	1	1003	65	40
DNasePeakNoPromoter_lowest_39	1	291	14	20
DNasePeakNoPromoter_lowest_40	1	2389	156	0
DNasePeakNoPromoter_lowest_41	1	880	39	31
DNasePeakNoPromoter_lowest_42	1	528	14	11
DNasePeakNoPromoter_lowest_43	1	2395	163	184
DNasePeakNoPromoter_lowest_44	1	1532	61	94
DNasePeakNoPromoter_lowest_45	1	1494	19	69
DNasePeakNoPromoter_lowest_46	1	423	35	0
DNasePeakNoPromoter_lowest_47	1	1300	81	25
DNasePeakNoPromoter_lowest_48	1	893	6	34
DNasePeakNoPromoter_lowest_49	1	1445	6	10
DNasePeakNoPromoter_lowest_50	1	1865	26	177
template1.9:83712634-83712733	1	327	8	11
template2.2:211153273-211153372	1	668	32	32
template1_class1_1CEBPA	1	213	4	16
template1_class1_2CEBPA	1	813	86	80
template1_class1_4CEBPA	1	1381	231	45
template1_class1_1CTCF	1	360	36	22
template1_class1_2CTCF	1	412	66	24
template1_class1_4CTCF	1	375	75	43
template1_class1_1FOXA1	1	334	29	20
template1_class1_2FOXA1	1	512	65	15
template1_class1_4FOXA1	1	883	151	48
template1_class1_1HNF1A	1	687	106	59
template1_class1_2HNF1A	1	595	117	52
template1_class1_4HNF1A	1	559	142	18
template1_class1_1NR2F2	1	0	6	22
template1_class1_2NR2F2	1	0	0	0
template1_class1_4NR2F2	1	0	0	0
template1_class1_1ONECUT1	1	346	38	9
template1_class1_2ONECUT1	1	417	16	10
template1_class1_4ONECUT1	1	437	57	50
template1_class1_1PPARA	1	914	68	16
template1_class1_2PPARA	1	488	55	9
template1_class1_4PPARA	1	52	14	2
template1_class1_1REST	1	483	39	56
template1_class1_2REST	1	736	46	3
template1_class1_4REST	1	337	42	0
template1_class1_1XBP1	1	306	37	52
template1_class1_2XBP1	1	403	29	27
template1_class1_4XBP1	1	508	26	57
template1_class2_1CEBPA_1CTCF	1	312	50	43
template1_class2_2CEBPA_2CTCF	1	315	42	48
template1_class2_1CEBPA_1FOXA1	1	492	45	51
template1_class2_2CEBPA_2FOXA1	1	1584	218	195
template1_class2_1CEBPA_1HNF1A	1	731	128	41
template1_class2_2CEBPA_2HNF1A	1	338	72	4
template1_class2_1CEBPA_1NR2F2	1	2	8	5
template1_class2_2CEBPA_2NR2F2	1	0	0	0
template1_class2_1CEBPA_1ONECUT1	1	539	49	29
template1_class2_2CEBPA_2ONECUT1	1	1005	107	122
template1_class2_1CEBPA_1PPARA	1	294	23	10
template1_class2_2CEBPA_2PPARA	1	362	18	39
template1_class2_1CEBPA_1REST	1	397	78	27
template1_class2_2CEBPA_2REST	1	652	53	24
template1_class2_1CEBPA_1XBP1	1	1000	93	90
template1_class2_2CEBPA_2XBP1	1	871	130	49
template1_class2_1CTCF_1CEBPA	1	486	31	38
template1_class2_2CTCF_2CEBPA	1	574	35	39
template1_class2_1CTCF_1FOXA1	1	287	15	20
template1_class2_2CTCF_2FOXA1	1	195	17	20
template1_class2_1CTCF_1HNF1A	1	456	33	12
template1_class2_2CTCF_2HNF1A	1	357	98	42
template1_class2_1CTCF_1NR2F2	1	3	20	16
template1_class2_2CTCF_2NR2F2	1	0	0	0
template1_class2_1CTCF_1ONECUT1	1	344	21	42
template1_class2_2CTCF_2ONECUT1	1	214	34	46
template1_class2_1CTCF_1PPARA	1	367	29	55
template1_class2_2CTCF_2PPARA	1	377	27	5
template1_class2_1CTCF_1REST	1	493	43	11
template1_class2_2CTCF_2REST	1	786	51	0
template1_class2_1CTCF_1XBP1	1	511	23	35
template1_class2_2CTCF_2XBP1	1	154	36	14
template1_class2_1FOXA1_1CEBPA	1	505	76	9
template1_class2_2FOXA1_2CEBPA	1	1589	114	183
template1_class2_1FOXA1_1CTCF	1	481	27	41
template1_class2_2FOXA1_2CTCF	1	588	49	65
template1_class2_1FOXA1_1HNF1A	1	354	41	14
template1_class2_2FOXA1_2HNF1A	1	688	133	38
template1_class2_1FOXA1_1NR2F2	1	5	37	11
template1_class2_2FOXA1_2NR2F2	1	0	0	0
template1_class2_1FOXA1_1ONECUT1	1	602	137	32
template1_class2_2FOXA1_2ONECUT1	1	538	56	42
template1_class2_1FOXA1_1PPARA	1	854	65	97
template1_class2_2FOXA1_2PPARA	1	232	34	20
template1_class2_1FOXA1_1REST	1	454	63	7
template1_class2_2FOXA1_2REST	1	803	77	45
template1_class2_1FOXA1_1XBP1	1	484	103	28
template1_class2_2FOXA1_2XBP1	1	144	9	11
template1_class2_1HNF1A_1CEBPA	1	497	69	37
template1_class2_2HNF1A_2CEBPA	1	719	148	31
template1_class2_1HNF1A_1CTCF	1	590	58	36
template1_class2_2HNF1A_2CTCF	1	872	166	82
template1_class2_1HNF1A_1FOXA1	1	398	37	47
template1_class2_2HNF1A_2FOXA1	1	712	115	64
template1_class2_1HNF1A_1NR2F2	1	1	7	11
template1_class2_2HNF1A_2NR2F2	1	0	0	0
template1_class2_1HNF1A_1ONECUT1	1	829	181	54
template1_class2_2HNF1A_2ONECUT1	1	325	50	19
template1_class2_1HNF1A_1PPARA	1	447	36	19
