feature	id	template1	template2	CEBPA	CTCF	FOXA1	HNF1A	NR2F2	ONECUT1	PPARA	REST	XBP1
5	template1.9:83712634-83712733	1	0	0	0	0	0	0	0	0	0	0
6	template2.2:211153273-211153372	0	1	0	0	0	0	0	0	0	0	0
7	template1_class1_1CEBPA	1	0	1	0	0	0	0	0	0	0	0
7	template1_class1_2CEBPA	1	0	2	0	0	0	0	0	0	0	0
7	template1_class1_4CEBPA	1	0	4	0	0	0	0	0	0	0	0
7	template1_class1_1CTCF	1	0	0	1	0	0	0	0	0	0	0
7	template1_class1_2CTCF	1	0	0	2	0	0	0	0	0	0	0
7	template1_class1_4CTCF	1	0	0	4	0	0	0	0	0	0	0
7	template1_class1_1FOXA1	1	0	0	0	1	0	0	0	0	0	0
7	template1_class1_2FOXA1	1	0	0	0	2	0	0	0	0	0	0
7	template1_class1_4FOXA1	1	0	0	0	4	0	0	0	0	0	0
7	template1_class1_1HNF1A	1	0	0	0	0	1	0	0	0	0	0
7	template1_class1_2HNF1A	1	0	0	0	0	2	0	0	0	0	0
7	template1_class1_4HNF1A	1	0	0	0	0	4	0	0	0	0	0
7	template1_class1_1NR2F2	1	0	0	0	0	0	1	0	0	0	0
7	template1_class1_2NR2F2	1	0	0	0	0	0	2	0	0	0	0
7	template1_class1_4NR2F2	1	0	0	0	0	0	4	0	0	0	0
7	template1_class1_1ONECUT1	1	0	0	0	0	0	0	1	0	0	0
7	template1_class1_2ONECUT1	1	0	0	0	0	0	0	2	0	0	0
7	template1_class1_4ONECUT1	1	0	0	0	0	0	0	4	0	0	0
7	template1_class1_1PPARA	1	0	0	0	0	0	0	0	1	0	0
7	template1_class1_2PPARA	1	0	0	0	0	0	0	0	2	0	0
7	template1_class1_4PPARA	1	0	0	0	0	0	0	0	4	0	0
7	template1_class1_1REST	1	0	0	0	0	0	0	0	0	1	0
7	template1_class1_2REST	1	0	0	0	0	0	0	0	0	2	0
7	template1_class1_4REST	1	0	0	0	0	0	0	0	0	4	0
7	template1_class1_1XBP1	1	0	0	0	0	0	0	0	0	0	1
7	template1_class1_2XBP1	1	0	0	0	0	0	0	0	0	0	2
7	template1_class1_4XBP1	1	0	0	0	0	0	0	0	0	0	4
9	template1_class2_1CEBPA_1CTCF	1	0	1	1	0	0	0	0	0	0	0
9	template1_class2_2CEBPA_2CTCF	1	0	2	2	0	0	0	0	0	0	0
9	template1_class2_1CEBPA_1FOXA1	1	0	1	0	1	0	0	0	0	0	0
9	template1_class2_2CEBPA_2FOXA1	1	0	2	0	2	0	0	0	0	0	0
9	template1_class2_1CEBPA_1HNF1A	1	0	1	0	0	1	0	0	0	0	0
9	template1_class2_2CEBPA_2HNF1A	1	0	2	0	0	2	0	0	0	0	0
9	template1_class2_1CEBPA_1NR2F2	1	0	1	0	0	0	1	0	0	0	0
9	template1_class2_2CEBPA_2NR2F2	1	0	2	0	0	0	2	0	0	0	0
9	template1_class2_1CEBPA_1ONECUT1	1	0	1	0	0	0	0	1	0	0	0
9	template1_class2_2CEBPA_2ONECUT1	1	0	2	0	0	0	0	2	0	0	0
9	template1_class2_1CEBPA_1PPARA	1	0	1	0	0	0	0	0	1	0	0
9	template1_class2_2CEBPA_2PPARA	1	0	2	0	0	0	0	0	2	0	0
9	template1_class2_1CEBPA_1REST	1	0	1	0	0	0	0	0	0	1	0
9	template1_class2_2CEBPA_2REST	1	0	2	0	0	0	0	0	0	2	0
9	template1_class2_1CEBPA_1XBP1	1	0	1	0	0	0	0	0	0	0	1
9	template1_class2_2CEBPA_2XBP1	1	0	2	0	0	0	0	0	0	0	2
9	template1_class2_1CTCF_1CEBPA	1	0	1	1	0	0	0	0	0	0	0
9	template1_class2_2CTCF_2CEBPA	1	0	2	2	0	0	0	0	0	0	0
9	template1_class2_1CTCF_1FOXA1	1	0	0	1	1	0	0	0	0	0	0
9	template1_class2_2CTCF_2FOXA1	1	0	0	2	2	0	0	0	0	0	0
9	template1_class2_1CTCF_1HNF1A	1	0	0	1	0	1	0	0	0	0	0
9	template1_class2_2CTCF_2HNF1A	1	0	0	2	0	2	0	0	0	0	0
9	template1_class2_1CTCF_1NR2F2	1	0	0	1	0	0	1	0	0	0	0
9	template1_class2_2CTCF_2NR2F2	1	0	0	2	0	0	2	0	0	0	0
9	template1_class2_1CTCF_1ONECUT1	1	0	0	1	0	0	0	1	0	0	0
9	template1_class2_2CTCF_2ONECUT1	1	0	0	2	0	0	0	2	0	0	0
9	template1_class2_1CTCF_1PPARA	1	0	0	1	0	0	0	0	1	0	0
9	template1_class2_2CTCF_2PPARA	1	0	0	2	0	0	0	0	2	0	0
9	template1_class2_1CTCF_1REST	1	0	0	1	0	0	0	0	0	1	0
9	template1_class2_2CTCF_2REST	1	0	0	2	0	0	0	0	0	2	0
9	template1_class2_1CTCF_1XBP1	1	0	0	1	0	0	0	0	0	0	1
9	template1_class2_2CTCF_2XBP1	1	0	0	2	0	0	0	0	0	0	2
9	template1_class2_1FOXA1_1CEBPA	1	0	1	0	1	0	0	0	0	0	0
9	template1_class2_2FOXA1_2CEBPA	1	0	2	0	2	0	0	0	0	0	0
9	template1_class2_1FOXA1_1CTCF	1	0	0	1	1	0	0	0	0	0	0
9	template1_class2_2FOXA1_2CTCF	1	0	0	2	2	0	0	0	0	0	0
9	template1_class2_1FOXA1_1HNF1A	1	0	0	0	1	1	0	0	0	0	0
9	template1_class2_2FOXA1_2HNF1A	1	0	0	0	2	2	0	0	0	0	0
9	template1_class2_1FOXA1_1NR2F2	1	0	0	0	1	0	1	0	0	0	0
9	template1_class2_2FOXA1_2NR2F2	1	0	0	0	2	0	2	0	0	0	0
9	template1_class2_1FOXA1_1ONECUT1	1	0	0	0	1	0	0	1	0	0	0
9	template1_class2_2FOXA1_2ONECUT1	1	0	0	0	2	0	0	2	0	0	0
9	template1_class2_1FOXA1_1PPARA	1	0	0	0	1	0	0	0	1	0	0
9	template1_class2_2FOXA1_2PPARA	1	0	0	0	2	0	0	0	2	0	0
9	template1_class2_1FOXA1_1REST	1	0	0	0	1	0	0	0	0	1	0
9	template1_class2_2FOXA1_2REST	1	0	0	0	2	0	0	0	0	2	0
9	template1_class2_1FOXA1_1XBP1	1	0	0	0	1	0	0	0	0	0	1
9	template1_class2_2FOXA1_2XBP1	1	0	0	0	2	0	0	0	0	0	2
9	template1_class2_1HNF1A_1CEBPA	1	0	1	0	0	1	0	0	0	0	0
9	template1_class2_2HNF1A_2CEBPA	1	0	2	0	0	2	0	0	0	0	0
9	template1_class2_1HNF1A_1CTCF	1	0	0	1	0	1	0	0	0	0	0
9	template1_class2_2HNF1A_2CTCF	1	0	0	2	0	2	0	0	0	0	0
9	template1_class2_1HNF1A_1FOXA1	1	0	0	0	1	1	0	0	0	0	0
9	template1_class2_2HNF1A_2FOXA1	1	0	0	0	2	2	0	0	0	0	0
9	template1_class2_1HNF1A_1NR2F2	1	0	0	0	0	1	1	0	0	0	0
9	template1_class2_2HNF1A_2NR2F2	1	0	0	0	0	2	2	0	0	0	0
9	template1_class2_1HNF1A_1ONECUT1	1	0	0	0	0	1	0	1	0	0	0
9	template1_class2_2HNF1A_2ONECUT1	1	0	0	0	0	2	0	2	0	0	0
9	template1_class2_1HNF1A_1PPARA	1	0	0	0	0	1	0	0	1	0	0
9	template1_class2_2HNF1A_2PPARA	1	0	0	0	0	2	0	0	2	0	0
9	template1_class2_1HNF1A_1REST	1	0	0	0	0	1	0	0	0	1	0
9	template1_class2_2HNF1A_2REST	1	0	0	0	0	2	0	0	0	2	0
9	template1_class2_1HNF1A_1XBP1	1	0	0	0	0	1	0	0	0	0	1
9	template1_class2_2HNF1A_2XBP1	1	0	0	0	0	2	0	0	0	0	2
9	template1_class2_1NR2F2_1CEBPA	1	0	1	0	0	0	1	0	0	0	0
9	template1_class2_2NR2F2_2CEBPA	1	0	2	0	0	0	2	0	0	0	0
9	template1_class2_1NR2F2_1CTCF	1	0	0	1	0	0	1	0	0	0	0
9	template1_class2_2NR2F2_2CTCF	1	0	0	2	0	0	2	0	0	0	0
9	template1_class2_1NR2F2_1FOXA1	1	0	0	0	1	0	1	0	0	0	0
9	template1_class2_2NR2F2_2FOXA1	1	0	0	0	2	0	2	0	0	0	0
9	template1_class2_1NR2F2_1HNF1A	1	0	0	0	0	1	1	0	0	0	0
9	template1_class2_2NR2F2_2HNF1A	1	0	0	0	0	2	2	0	0	0	0
9	template1_class2_1NR2F2_1ONECUT1	1	0	0	0	0	0	1	1	0	0	0
9	template1_class2_2NR2F2_2ONECUT1	1	0	0	0	0	0	2	2	0	0	0
9	template1_class2_1NR2F2_1PPARA	1	0	0	0	0	0	1	0	1	0	0
9	template1_class2_2NR2F2_2PPARA	1	0	0	0	0	0	2	0	2	0	0
9	template1_class2_1NR2F2_1REST	1	0	0	0	0	0	1	0	0	1	0
9	template1_class2_2NR2F2_2REST	1	0	0	0	0	0	2	0	0	2	0
9	template1_class2_1NR2F2_1XBP1	1	0	0	0	0	0	1	0	0	0	1
9	template1_class2_2NR2F2_2XBP1	1	0	0	0	0	0	2	0	0	0	2
9	template1_class2_1ONECUT1_1CEBPA	1	0	1	0	0	0	0	1	0	0	0
9	template1_class2_2ONECUT1_2CEBPA	1	0	2	0	0	0	0	2	0	0	0
9	template1_class2_1ONECUT1_1CTCF	1	0	0	1	0	0	0	1	0	0	0
9	template1_class2_2ONECUT1_2CTCF	1	0	0	2	0	0	0	2	0	0	0
9	template1_class2_1ONECUT1_1FOXA1	1	0	0	0	1	0	0	1	0	0	0
9	template1_class2_2ONECUT1_2FOXA1	1	0	0	0	2	0	0	2	0	0	0
9	template1_class2_1ONECUT1_1HNF1A	1	0	0	0	0	1	0	1	0	0	0
9	template1_class2_2ONECUT1_2HNF1A	1	0	0	0	0	2	0	2	0	0	0
9	template1_class2_1ONECUT1_1NR2F2	1	0	0	0	0	0	1	1	0	0	0
9	template1_class2_2ONECUT1_2NR2F2	1	0	0	0	0	0	2	2	0	0	0
9	template1_class2_1ONECUT1_1PPARA	1	0	0	0	0	0	0	1	1	0	0
9	template1_class2_2ONECUT1_2PPARA	1	0	0	0	0	0	0	2	2	0	0
9	template1_class2_1ONECUT1_1REST	1	0	0	0	0	0	0	1	0	1	0
9	template1_class2_2ONECUT1_2REST	1	0	0	0	0	0	0	2	0	2	0
9	template1_class2_1ONECUT1_1XBP1	1	0	0	0	0	0	0	1	0	0	1
9	template1_class2_2ONECUT1_2XBP1	1	0	0	0	0	0	0	2	0	0	2
9	template1_class2_1PPARA_1CEBPA	1	0	1	0	0	0	0	0	1	0	0
9	template1_class2_2PPARA_2CEBPA	1	0	2	0	0	0	0	0	2	0	0
9	template1_class2_1PPARA_1CTCF	1	0	0	1	0	0	0	0	1	0	0
9	template1_class2_2PPARA_2CTCF	1	0	0	2	0	0	0	0	2	0	0
9	template1_class2_1PPARA_1FOXA1	1	0	0	0	1	0	0	0	1	0	0
9	template1_class2_2PPARA_2FOXA1	1	0	0	0	2	0	0	0	2	0	0
9	template1_class2_1PPARA_1HNF1A	1	0	0	0	0	1	0	0	1	0	0
9	template1_class2_2PPARA_2HNF1A	1	0	0	0	0	2	0	0	2	0	0
9	template1_class2_1PPARA_1NR2F2	1	0	0	0	0	0	1	0	1	0	0
9	template1_class2_2PPARA_2NR2F2	1	0	0	0	0	0	2	0	2	0	0
9	template1_class2_1PPARA_1ONECUT1	1	0	0	0	0	0	0	1	1	0	0
9	template1_class2_2PPARA_2ONECUT1	1	0	0	0	0	0	0	2	2	0	0
9	template1_class2_1PPARA_1REST	1	0	0	0	0	0	0	0	1	1	0
9	template1_class2_2PPARA_2REST	1	0	0	0	0	0	0	0	2	2	0
9	template1_class2_1PPARA_1XBP1	1	0	0	0	0	0	0	0	1	0	1
9	template1_class2_2PPARA_2XBP1	1	0	0	0	0	0	0	0	2	0	2
9	template1_class2_1REST_1CEBPA	1	0	1	0	0	0	0	0	0	1	0
9	template1_class2_2REST_2CEBPA	1	0	2	0	0	0	0	0	0	2	0
9	template1_class2_1REST_1CTCF	1	0	0	1	0	0	0	0	0	1	0
