id	replicate	gDNA	ATAC	H3K27ac
genomic_random_01	1	268	12	21
genomic_random_02	1	214	2	46
genomic_random_03	1	280	0	3
genomic_random_04	1	87	0	0
genomic_random_05	1	342	11	7
genomic_random_06	1	45	0	0
genomic_random_07	1	899	0	117
genomic_random_08	1	460	0	6
genomic_random_09	1	306	11	40
genomic_random_10	1	90	1	2
genomic_random_11	1	417	16	19
genomic_random_12	1	231	0	8
genomic_random_13	1	183	30	9
genomic_random_14	1	522	34	37
genomic_random_15	1	641	1	70
genomic_random_16	1	1239	35	103
genomic_random_17	1	335	1	29
genomic_random_18	1	739	0	25
genomic_random_19	1	279	0	15
genomic_random_20	1	147	0	7
genomic_random_21	1	371	22	23
genomic_random_22	1	788	5	5
genomic_random_23	1	108	10	9
genomic_random_24	1	334	0	12
genomic_random_25	1	71	0	9
genomic_random_26	1	94	0	5
genomic_random_27	1	737	27	77
genomic_random_28	1	964	62	43
genomic_random_29	1	224	5	3
genomic_random_30	1	416	18	3
genomic_random_31	1	92	0	1
genomic_random_32	1	238	0	1
genomic_random_33	1	270	0	7
genomic_random_34	1	299	0	4
genomic_random_35	1	134	0	5
genomic_random_36	1	154	1	2
genomic_random_37	1	763	42	26
genomic_random_38	1	790	5	4
genomic_random_39	1	374	1	30
genomic_random_40	1	490	0	4
genomic_random_41	1	380	0	28
genomic_random_42	1	170	1	8
genomic_random_43	1	474	3	35
genomic_random_44	1	26	0	2
genomic_random_45	1	665	1	20
genomic_random_46	1	345	1	8
genomic_random_47	1	315	1	3
genomic_random_48	1	811	0	11
genomic_random_49	1	815	22	4
genomic_random_50	1	69	41	0
DNasePeakNoPromoter_02_shuffled	1	445	25	0
DNasePeakNoPromoter_03_shuffled	1	1989	36	6
DNasePeakNoPromoter_04_shuffled	1	318	0	0
DNasePeakNoPromoter_05_shuffled	1	405	6	3
DNasePeakNoPromoter_06_shuffled	1	729	7	0
DNasePeakNoPromoter_08_shuffled	1	456	25	5
DNasePeakNoPromoter_11_shuffled	1	562	17	0
DNasePeakNoPromoter_13_shuffled	1	466	22	13
DNasePeakNoPromoter_14_shuffled	1	402	0	1
DNasePeakNoPromoter_15_shuffled	1	20	0	0
DNasePeakNoPromoter_18_shuffled	1	392	0	4
DNasePeakNoPromoter_19_shuffled	1	361	2	6
DNasePeakNoPromoter_20_shuffled	1	1042	28	15
DNasePeakNoPromoter_25_shuffled	1	502	0	21
DNasePeakNoPromoter_27_shuffled	1	757	13	15
DNasePeakNoPromoter_29_shuffled	1	12	2	0
DNasePeakNoPromoter_32_shuffled	1	73	0	0
DNasePeakNoPromoter_33_shuffled	1	268	0	0
DNasePeakNoPromoter_41_shuffled	1	742	0	28
DNasePeakNoPromoter_45_shuffled	1	235	0	3
DNasePeakNoPromoter_46_shuffled	1	112	0	0
DNasePeakNoPromoter_47_shuffled	1	863	23	17
DNasePeakNoPromoter_51_shuffled	1	654	32	5
DNasePeakNoPromoter_52_shuffled	1	373	27	8
DNasePeakNoPromoter_53_shuffled	1	226	2	13
DNasePeakNoPromoter_55_shuffled	1	862	1	16
DNasePeakNoPromoter_58_shuffled	1	1267	0	3
DNasePeakNoPromoter_59_shuffled	1	671	9	5
DNasePeakNoPromoter_60_shuffled	1	498	0	11
DNasePeakNoPromoter_61_shuffled	1	390	19	9
DNasePeakNoPromoter_64_shuffled	1	737	1	2
DNasePeakNoPromoter_66_shuffled	1	355	0	1
DNasePeakNoPromoter_67_shuffled	1	706	1	12
DNasePeakNoPromoter_70_shuffled	1	552	29	2
DNasePeakNoPromoter_71_shuffled	1	390	0	6
DNasePeakNoPromoter_72_shuffled	1	474	11	4
DNasePeakNoPromoter_73_shuffled	1	441	1	2
DNasePeakNoPromoter_75_shuffled	1	903	1	1
DNasePeakNoPromoter_76_shuffled	1	551	0	18
DNasePeakNoPromoter_81_shuffled	1	262	0	1
DNasePeakNoPromoter_83_shuffled	1	191	0	0
DNasePeakNoPromoter_85_shuffled	1	354	13	14
DNasePeakNoPromoter_87_shuffled	1	813	0	11
DNasePeakNoPromoter_91_shuffled	1	244	0	0
DNasePeakNoPromoter_92_shuffled	1	533	0	4
DNasePeakNoPromoter_93_shuffled	1	940	11	14
DNasePeakNoPromoter_94_shuffled	1	483	26	5
DNasePeakNoPromoter_96_shuffled	1	423	0	4
DNasePeakNoPromoter_98_shuffled	1	526	33	0
DNasePeakNoPromoter_99_shuffled	1	583	44	9
DNasePeakNoPromoter_02	1	438	5	14
DNasePeakNoPromoter_03	1	730	0	15
DNasePeakNoPromoter_04	1	521	36	42
DNasePeakNoPromoter_05	1	485	1	11
DNasePeakNoPromoter_06	1	789	13	26
DNasePeakNoPromoter_08	1	782	6	32
DNasePeakNoPromoter_11	1	537	17	19
DNasePeakNoPromoter_13	1	288	0	21
DNasePeakNoPromoter_14	1	1214	178	29
DNasePeakNoPromoter_15	1	283	11	4
DNasePeakNoPromoter_18	1	669	50	60
DNasePeakNoPromoter_19	1	705	2	22
DNasePeakNoPromoter_20	1	745	3	3
DNasePeakNoPromoter_25	1	246	4	27
DNasePeakNoPromoter_27	1	1199	46	23
DNasePeakNoPromoter_29	1	284	0	23
DNasePeakNoPromoter_32	1	176	18	40
DNasePeakNoPromoter_33	1	880	43	46
DNasePeakNoPromoter_41	1	4	0	0
DNasePeakNoPromoter_45	1	504	0	0
DNasePeakNoPromoter_46	1	684	0	71
DNasePeakNoPromoter_47	1	226	1	32
DNasePeakNoPromoter_51	1	699	59	38
DNasePeakNoPromoter_52	1	342	11	26
DNasePeakNoPromoter_53	1	157	0	39
DNasePeakNoPromoter_55	1	462	3	15
DNasePeakNoPromoter_58	1	309	14	7
DNasePeakNoPromoter_59	1	394	19	65
DNasePeakNoPromoter_60	1	477	17	25
DNasePeakNoPromoter_61	1	599	15	19
DNasePeakNoPromoter_64	1	285	1	27
DNasePeakNoPromoter_66	1	198	0	11
DNasePeakNoPromoter_67	1	1064	26	51
DNasePeakNoPromoter_70	1	131	10	7
DNasePeakNoPromoter_71	1	337	4	17
DNasePeakNoPromoter_72	1	721	0	11
DNasePeakNoPromoter_73	1	1438	37	84
DNasePeakNoPromoter_75	1	491	4	45
DNasePeakNoPromoter_76	1	755	108	5
DNasePeakNoPromoter_81	1	658	19	98
DNasePeakNoPromoter_83	1	595	23	66
DNasePeakNoPromoter_85	1	647	8	38
DNasePeakNoPromoter_87	1	427	0	11
DNasePeakNoPromoter_91	1	564	9	38
DNasePeakNoPromoter_92	1	471	42	54
DNasePeakNoPromoter_93	1	609	24	76
DNasePeakNoPromoter_94	1	519	18	32
DNasePeakNoPromoter_96	1	1134	23	28
DNasePeakNoPromoter_98	1	742	6	15
DNasePeakNoPromoter_99	1	380	1	19
DNasePeakNoPromoter_lowest_01	1	559	29	9
DNasePeakNoPromoter_lowest_02	1	992	39	90
DNasePeakNoPromoter_lowest_03	1	389	2	3
