feature	sample	id
1	0	genomic_random_01
1	0	genomic_random_02
1	0	genomic_random_03
1	0	genomic_random_04
1	0	genomic_random_05
1	0	genomic_random_06
1	0	genomic_random_07
1	0	genomic_random_08
1	0	genomic_random_09
1	0	genomic_random_10
1	0	genomic_random_11
1	0	genomic_random_12
1	0	genomic_random_13
1	0	genomic_random_14
1	0	genomic_random_15
1	0	genomic_random_16
1	0	genomic_random_17
1	0	genomic_random_18
1	0	genomic_random_19
1	0	genomic_random_20
1	0	genomic_random_21
1	0	genomic_random_22
1	0	genomic_random_23
1	0	genomic_random_24
1	0	genomic_random_25
1	0	genomic_random_26
1	0	genomic_random_27
1	0	genomic_random_28
1	0	genomic_random_29
1	0	genomic_random_30
1	0	genomic_random_31
1	0	genomic_random_32
1	0	genomic_random_33
1	0	genomic_random_34
1	0	genomic_random_35
1	0	genomic_random_36
1	0	genomic_random_37
1	0	genomic_random_38
1	0	genomic_random_39
1	0	genomic_random_40
1	0	genomic_random_41
1	0	genomic_random_42
1	0	genomic_random_43
1	0	genomic_random_44
1	0	genomic_random_45
1	0	genomic_random_46
1	0	genomic_random_47
1	0	genomic_random_48
1	0	genomic_random_49
1	0	genomic_random_50
2	0	DNasePeakNoPromoter_02_shuffled
2	0	DNasePeakNoPromoter_03_shuffled
2	0	DNasePeakNoPromoter_04_shuffled
2	0	DNasePeakNoPromoter_05_shuffled
2	0	DNasePeakNoPromoter_06_shuffled
2	0	DNasePeakNoPromoter_08_shuffled
2	0	DNasePeakNoPromoter_11_shuffled
2	0	DNasePeakNoPromoter_13_shuffled
2	0	DNasePeakNoPromoter_14_shuffled
2	0	DNasePeakNoPromoter_15_shuffled
2	0	DNasePeakNoPromoter_18_shuffled
2	0	DNasePeakNoPromoter_19_shuffled
2	0	DNasePeakNoPromoter_20_shuffled
2	0	DNasePeakNoPromoter_25_shuffled
2	0	DNasePeakNoPromoter_27_shuffled
2	0	DNasePeakNoPromoter_29_shuffled
2	0	DNasePeakNoPromoter_32_shuffled
2	0	DNasePeakNoPromoter_33_shuffled
2	0	DNasePeakNoPromoter_41_shuffled
2	0	DNasePeakNoPromoter_45_shuffled
2	0	DNasePeakNoPromoter_46_shuffled
2	0	DNasePeakNoPromoter_47_shuffled
2	0	DNasePeakNoPromoter_51_shuffled
2	0	DNasePeakNoPromoter_52_shuffled
2	0	DNasePeakNoPromoter_53_shuffled
2	0	DNasePeakNoPromoter_55_shuffled
2	0	DNasePeakNoPromoter_58_shuffled
2	0	DNasePeakNoPromoter_59_shuffled
2	0	DNasePeakNoPromoter_60_shuffled
2	0	DNasePeakNoPromoter_61_shuffled
2	0	DNasePeakNoPromoter_64_shuffled
2	0	DNasePeakNoPromoter_66_shuffled
2	0	DNasePeakNoPromoter_67_shuffled
2	0	DNasePeakNoPromoter_70_shuffled
2	0	DNasePeakNoPromoter_71_shuffled
2	0	DNasePeakNoPromoter_72_shuffled
2	0	DNasePeakNoPromoter_73_shuffled
2	0	DNasePeakNoPromoter_75_shuffled
2	0	DNasePeakNoPromoter_76_shuffled
2	0	DNasePeakNoPromoter_81_shuffled
2	0	DNasePeakNoPromoter_83_shuffled
2	0	DNasePeakNoPromoter_85_shuffled
2	0	DNasePeakNoPromoter_87_shuffled
2	0	DNasePeakNoPromoter_91_shuffled
2	0	DNasePeakNoPromoter_92_shuffled
2	0	DNasePeakNoPromoter_93_shuffled
2	0	DNasePeakNoPromoter_94_shuffled
2	0	DNasePeakNoPromoter_96_shuffled
2	0	DNasePeakNoPromoter_98_shuffled
2	0	DNasePeakNoPromoter_99_shuffled
3	0	DNasePeakNoPromoter_02
3	0	DNasePeakNoPromoter_03
3	0	DNasePeakNoPromoter_04
3	0	DNasePeakNoPromoter_05
3	0	DNasePeakNoPromoter_06
3	0	DNasePeakNoPromoter_08
3	0	DNasePeakNoPromoter_11
3	0	DNasePeakNoPromoter_13
3	0	DNasePeakNoPromoter_14
3	0	DNasePeakNoPromoter_15
3	0	DNasePeakNoPromoter_18
3	0	DNasePeakNoPromoter_19
3	0	DNasePeakNoPromoter_20
