id	replicate	gDNA	ATAC	H3K27ac
genomic_random_01	1	47	18	36
genomic_random_02	1	65	52	64
genomic_random_03	1	43	8	9
genomic_random_04	1	27	24	25
genomic_random_05	1	118	81	58
genomic_random_06	1	22	8	7
genomic_random_07	1	93	39	49
genomic_random_08	1	88	37	67
genomic_random_09	1	174	78	53
genomic_random_10	1	33	34	24
genomic_random_11	1	41	22	45
genomic_random_12	1	47	21	19
genomic_random_13	1	53	36	45
genomic_random_14	1	120	74	50
genomic_random_15	1	110	56	46
genomic_random_16	1	174	93	131
genomic_random_17	1	65	47	38
genomic_random_18	1	208	48	72
genomic_random_19	1	39	29	54
genomic_random_20	1	84	30	27
genomic_random_21	1	138	63	80
genomic_random_22	1	83	47	31
genomic_random_23	1	85	10	61
genomic_random_24	1	80	24	23
genomic_random_25	1	40	34	20
genomic_random_26	1	11	10	1
genomic_random_27	1	104	53	98
genomic_random_28	1	285	73	92
genomic_random_29	1	44	24	4
genomic_random_30	1	58	24	38
genomic_random_31	1	30	1	24
genomic_random_32	1	48	12	28
genomic_random_33	1	66	37	35
genomic_random_34	1	48	18	39
genomic_random_35	1	23	25	31
genomic_random_36	1	30	19	15
genomic_random_37	1	127	62	65
genomic_random_38	1	165	95	102
genomic_random_39	1	132	55	80
genomic_random_40	1	118	55	42
genomic_random_41	1	164	73	65
genomic_random_42	1	55	14	19
genomic_random_43	1	130	89	35
genomic_random_44	1	23	0	5
genomic_random_45	1	118	55	74
genomic_random_46	1	63	44	35
genomic_random_47	1	101	26	54
genomic_random_48	1	99	37	44
genomic_random_49	1	112	51	38
genomic_random_50	1	19	15	13
SLEA_top_01	1	148	315	156
SLEA_top_02	1	117	353	100
SLEA_top_03	1	68	260	74
SLEA_top_04	1	224	512	199
SLEA_top_05	1	104	287	112
SLEA_top_06	1	207	394	229
SLEA_top_07	1	63	159	77
SLEA_top_08	1	116	150	89
SLEA_top_09	1	143	225	151
SLEA_top_10	1	109	119	119
SLEA_top_11	1	103	299	102
SLEA_top_12	1	40	214	54
SLEA_top_13	1	137	176	67
SLEA_top_14	1	123	131	84
SLEA_top_15	1	91	341	80
SLEA_top_16	1	67	191	97
SLEA_top_17	1	224	406	225
SLEA_top_18	1	195	140	106
SLEA_top_19	1	110	218	143
SLEA_top_20	1	156	260	154
SLEA_top_21	1	89	115	81
SLEA_top_22	1	117	233	109
SLEA_top_23	1	71	117	36
SLEA_top_24	1	204	330	133
SLEA_top_25	1	69	121	47
SLEA_top_26	1	155	183	169
SLEA_top_27	1	74	241	105
SLEA_top_28	1	100	233	118
SLEA_top_29	1	225	125	140
SLEA_top_30	1	126	209	53
SLEA_top_31	1	120	381	123
SLEA_top_32	1	118	145	65
SLEA_top_33	1	203	269	205
SLEA_top_34	1	200	290	141
SLEA_top_35	1	169	154	105
SLEA_top_36	1	73	221	113
SLEA_top_37	1	159	263	166
SLEA_top_38	1	81	121	77
SLEA_top_39	1	47	104	36
SLEA_top_40	1	24	65	17
SLEA_top_41	1	138	142	121
SLEA_top_42	1	129	379	118
SLEA_top_43	1	104	288	105
SLEA_top_44	1	75	252	75
SLEA_top_45	1	113	216	143
SLEA_top_46	1	125	93	88
SLEA_top_47	1	98	115	137
SLEA_top_48	1	95	124	112
SLEA_top_49	1	82	341	85
SLEA_top_50	1	95	288	92
SLEA_bottom_01	1	134	85	65
SLEA_bottom_02	1	81	63	29
SLEA_bottom_03	1	89	103	108
SLEA_bottom_04	1	54	73	38
SLEA_bottom_05	1	70	81	65
SLEA_bottom_06	1	106	306	78
SLEA_bottom_07	1	97	180	102
SLEA_bottom_08	1	96	114	121
SLEA_bottom_09	1	104	80	84
SLEA_bottom_10	1	99	77	90
SLEA_bottom_11	1	105	74	95
SLEA_bottom_12	1	115	188	92
SLEA_bottom_13	1	156	238	250
SLEA_bottom_14	1	135	151	99
SLEA_bottom_15	1	129	141	95
SLEA_bottom_16	1	108	90	72
SLEA_bottom_17	1	148	213	203
SLEA_bottom_18	1	118	68	94
SLEA_bottom_19	1	172	251	255
SLEA_bottom_20	1	72	100	41
SLEA_bottom_21	1	92	124	87
SLEA_bottom_22	1	90	109	86
SLEA_bottom_23	1	151	109	105
SLEA_bottom_24	1	119	72	74
SLEA_bottom_25	1	109	113	82
SLEA_bottom_26	1	126	260	132
SLEA_bottom_27	1	154	90	101
SLEA_bottom_28	1	109	167	90
SLEA_bottom_29	1	109	66	90
SLEA_bottom_30	1	63	141	77
SLEA_bottom_31	1	120	37	65
SLEA_bottom_32	1	143	206	176
SLEA_bottom_33	1	108	180	92
SLEA_bottom_34	1	102	97	73
SLEA_bottom_35	1	126	83	61
SLEA_bottom_36	1	96	119	72
SLEA_bottom_37	1	137	145	63
SLEA_bottom_38	1	137	106	97
SLEA_bottom_39	1	196	180	109
SLEA_bottom_40	1	61	80	43
SLEA_bottom_41	1	48	19	30
SLEA_bottom_42	1	50	61	77
SLEA_bottom_43	1	118	76	100
SLEA_bottom_44	1	73	87	77
SLEA_bottom_45	1	87	146	88
SLEA_bottom_46	1	125	68	85
SLEA_bottom_47	1	103	323	79
SLEA_bottom_48	1	43	57	36
SLEA_bottom_49	1	160	91	98
SLEA_bottom_50	1	116	270	126
DNasePeakNoPromoter_lowest_01	1	128	74	44
DNasePeakNoPromoter_lowest_02	1	353	190	89
DNasePeakNoPromoter_lowest_03	1	78	69	32
DNasePeakNoPromoter_lowest_04	1	108	94	17
DNasePeakNoPromoter_lowest_05	1	86	92	41
DNasePeakNoPromoter_lowest_06	1	239	100	65
DNasePeakNoPromoter_lowest_07	1	24	11	8
DNasePeakNoPromoter_lowest_08	1	71	79	11
DNasePeakNoPromoter_lowest_09	1	105	84	33
DNasePeakNoPromoter_lowest_10	1	66	50	27
DNasePeakNoPromoter_lowest_11	1	104	39	21
DNasePeakNoPromoter_lowest_12	1	59	26	20
DNasePeakNoPromoter_lowest_13	1	38	11	11
DNasePeakNoPromoter_lowest_14	1	137	101	65
DNasePeakNoPromoter_lowest_15	1	218	102	125
DNasePeakNoPromoter_lowest_16	1	202	78	81
DNasePeakNoPromoter_lowest_17	1	26	19	1
DNasePeakNoPromoter_lowest_18	1	85	81	40
DNasePeakNoPromoter_lowest_19	1	280	111	83
DNasePeakNoPromoter_lowest_20	1	47	33	4
DNasePeakNoPromoter_lowest_21	1	58	33	26
DNasePeakNoPromoter_lowest_22	1	28	19	6
DNasePeakNoPromoter_lowest_23	1	141	80	39
DNasePeakNoPromoter_lowest_24	1	136	45	19
DNasePeakNoPromoter_lowest_25	1	19	21	23
DNasePeakNoPromoter_lowest_26	1	19	13	0
DNasePeakNoPromoter_lowest_27	1	131	55	19
DNasePeakNoPromoter_lowest_28	1	102	68	38
DNasePeakNoPromoter_lowest_29	1	129	42	72
DNasePeakNoPromoter_lowest_30	1	163	77	37
DNasePeakNoPromoter_lowest_31	1	97	45	21
DNasePeakNoPromoter_lowest_32	1	88	53	26
DNasePeakNoPromoter_lowest_33	1	155	68	71
DNasePeakNoPromoter_lowest_34	1	115	81	77
DNasePeakNoPromoter_lowest_35	1	21	18	20
DNasePeakNoPromoter_lowest_36	1	117	68	25
DNasePeakNoPromoter_lowest_37	1	98	43	44
DNasePeakNoPromoter_lowest_38	1	132	64	69
DNasePeakNoPromoter_lowest_39	1	46	29	31
DNasePeakNoPromoter_lowest_40	1	139	26	12
DNasePeakNoPromoter_lowest_41	1	68	52	16
DNasePeakNoPromoter_lowest_42	1	45	15	24
DNasePeakNoPromoter_lowest_43	1	225	58	94
DNasePeakNoPromoter_lowest_44	1	94	44	40
DNasePeakNoPromoter_lowest_45	1	100	64	57
DNasePeakNoPromoter_lowest_46	1	53	46	16
DNasePeakNoPromoter_lowest_47	1	40	12	0
DNasePeakNoPromoter_lowest_48	1	130	49	28
DNasePeakNoPromoter_lowest_49	1	143	94	29
DNasePeakNoPromoter_lowest_50	1	110	25	36
DNasePeakNoPromoter_01	1	101	79	64
DNasePeakNoPromoter_02	1	107	86	81
DNasePeakNoPromoter_03	1	204	111	93
DNasePeakNoPromoter_04	1	108	63	77
DNasePeakNoPromoter_05	1	120	123	100
DNasePeakNoPromoter_06	1	100	97	68
DNasePeakNoPromoter_07	1	62	44	48
DNasePeakNoPromoter_08	1	140	139	123
DNasePeakNoPromoter_09	1	129	74	140
DNasePeakNoPromoter_10	1	92	56	57
DNasePeakNoPromoter_11	1	77	76	71
DNasePeakNoPromoter_12	1	168	85	90
DNasePeakNoPromoter_13	1	61	40	44
DNasePeakNoPromoter_14	1	191	88	94
DNasePeakNoPromoter_15	1	109	69	78
DNasePeakNoPromoter_16	1	114	46	82
DNasePeakNoPromoter_17	1	115	63	51
DNasePeakNoPromoter_18	1	64	36	33
DNasePeakNoPromoter_19	1	97	46	63
DNasePeakNoPromoter_20	1	102	50	40
DNasePeakNoPromoter_21	1	70	45	12
DNasePeakNoPromoter_22	1	95	61	31
DNasePeakNoPromoter_23	1	126	65	69
DNasePeakNoPromoter_24	1	118	52	87
DNasePeakNoPromoter_25	1	93	67	72
DNasePeakNoPromoter_26	1	276	174	258
DNasePeakNoPromoter_27	1	165	114	91
DNasePeakNoPromoter_28	1	101	56	28
DNasePeakNoPromoter_29	1	35	22	37
DNasePeakNoPromoter_30	1	83	40	45
DNasePeakNoPromoter_31	1	71	16	25
DNasePeakNoPromoter_32	1	70	101	88
DNasePeakNoPromoter_33	1	155	93	137
DNasePeakNoPromoter_34	1	103	32	58
DNasePeakNoPromoter_35	1	94	65	72
DNasePeakNoPromoter_36	1	94	22	36
DNasePeakNoPromoter_37	1	149	153	27
DNasePeakNoPromoter_38	1	66	30	19
DNasePeakNoPromoter_39	1	128	34	51
DNasePeakNoPromoter_40	1	60	17	49
DNasePeakNoPromoter_41	1	0	0	0
DNasePeakNoPromoter_42	1	150	61	76
DNasePeakNoPromoter_43	1	98	72	101
DNasePeakNoPromoter_44	1	109	151	96
DNasePeakNoPromoter_45	1	34	44	14
DNasePeakNoPromoter_46	1	156	92	113
DNasePeakNoPromoter_47	1	71	70	16
DNasePeakNoPromoter_48	1	118	96	90
DNasePeakNoPromoter_49	1	100	159	84
DNasePeakNoPromoter_50	1	299	216	227
DNasePeakNoPromoter_51	1	97	76	78
DNasePeakNoPromoter_52	1	159	90	76
DNasePeakNoPromoter_53	1	53	39	45
DNasePeakNoPromoter_54	1	220	131	120
DNasePeakNoPromoter_55	1	124	68	60
DNasePeakNoPromoter_56	1	120	90	97
DNasePeakNoPromoter_57	1	98	72	116
DNasePeakNoPromoter_58	1	65	116	87
DNasePeakNoPromoter_59	1	223	176	238
DNasePeakNoPromoter_60	1	115	149	118
DNasePeakNoPromoter_61	1	87	99	88
DNasePeakNoPromoter_62	1	92	38	104
DNasePeakNoPromoter_63	1	131	27	23
DNasePeakNoPromoter_64	1	72	93	126
DNasePeakNoPromoter_65	1	119	58	43
DNasePeakNoPromoter_66	1	48	64	23
DNasePeakNoPromoter_67	1	101	156	96
DNasePeakNoPromoter_68	1	106	47	28
DNasePeakNoPromoter_69	1	28	12	28
DNasePeakNoPromoter_70	1	76	86	53
DNasePeakNoPromoter_71	1	58	57	26
DNasePeakNoPromoter_72	1	106	107	45
DNasePeakNoPromoter_73	1	222	194	174
DNasePeakNoPromoter_74	1	102	49	34
DNasePeakNoPromoter_75	1	144	135	152
DNasePeakNoPromoter_76	1	94	82	64
DNasePeakNoPromoter_77	1	131	82	94
DNasePeakNoPromoter_78	1	82	30	46
DNasePeakNoPromoter_79	1	98	59	66
DNasePeakNoPromoter_80	1	102	77	58
DNasePeakNoPromoter_81	1	216	211	183
DNasePeakNoPromoter_82	1	245	226	134
DNasePeakNoPromoter_83	1	140	121	63
DNasePeakNoPromoter_84	1	38	40	8
DNasePeakNoPromoter_85	1	144	223	105
DNasePeakNoPromoter_86	1	136	108	96
DNasePeakNoPromoter_87	1	102	72	89
DNasePeakNoPromoter_88	1	103	110	78
DNasePeakNoPromoter_89	1	116	90	112
DNasePeakNoPromoter_90	1	77	33	17
DNasePeakNoPromoter_91	1	124	58	67
DNasePeakNoPromoter_92	1	146	309	114
DNasePeakNoPromoter_93	1	179	168	125
DNasePeakNoPromoter_94	1	46	65	62
DNasePeakNoPromoter_95	1	77	51	58
DNasePeakNoPromoter_96	1	186	91	132
DNasePeakNoPromoter_97	1	80	60	78
DNasePeakNoPromoter_98	1	122	78	68
DNasePeakNoPromoter_99	1	108	84	64
DNasePeakNoPromoter_100	1	100	60	49
