feature	id
1	genomic_random_01
1	genomic_random_02
1	genomic_random_03
1	genomic_random_04
1	genomic_random_05
1	genomic_random_06
1	genomic_random_07
1	genomic_random_08
1	genomic_random_09
1	genomic_random_10
1	genomic_random_11
1	genomic_random_12
1	genomic_random_13
1	genomic_random_14
1	genomic_random_15
1	genomic_random_16
1	genomic_random_17
1	genomic_random_18
1	genomic_random_19
1	genomic_random_20
1	genomic_random_21
1	genomic_random_22
1	genomic_random_23
1	genomic_random_24
1	genomic_random_25
1	genomic_random_26
1	genomic_random_27
1	genomic_random_28
1	genomic_random_29
1	genomic_random_30
1	genomic_random_31
1	genomic_random_32
1	genomic_random_33
1	genomic_random_34
1	genomic_random_35
1	genomic_random_36
1	genomic_random_37
1	genomic_random_38
1	genomic_random_39
1	genomic_random_40
1	genomic_random_41
1	genomic_random_42
1	genomic_random_43
1	genomic_random_44
1	genomic_random_45
1	genomic_random_46
1	genomic_random_47
1	genomic_random_48
1	genomic_random_49
1	genomic_random_50
5	SLEA_top_01
5	SLEA_top_02
5	SLEA_top_03
5	SLEA_top_04
5	SLEA_top_05
5	SLEA_top_06
5	SLEA_top_07
5	SLEA_top_08
5	SLEA_top_09
5	SLEA_top_10
5	SLEA_top_11
5	SLEA_top_12
5	SLEA_top_13
5	SLEA_top_14
5	SLEA_top_15
5	SLEA_top_16
5	SLEA_top_17
5	SLEA_top_18
5	SLEA_top_19
5	SLEA_top_20
5	SLEA_top_21
5	SLEA_top_22
5	SLEA_top_23
5	SLEA_top_24
5	SLEA_top_25
5	SLEA_top_26
5	SLEA_top_27
5	SLEA_top_28
5	SLEA_top_29
5	SLEA_top_30
5	SLEA_top_31
5	SLEA_top_32
5	SLEA_top_33
5	SLEA_top_34
5	SLEA_top_35
5	SLEA_top_36
5	SLEA_top_37
5	SLEA_top_38
5	SLEA_top_39
5	SLEA_top_40
5	SLEA_top_41
5	SLEA_top_42
5	SLEA_top_43
5	SLEA_top_44
5	SLEA_top_45
5	SLEA_top_46
5	SLEA_top_47
5	SLEA_top_48
5	SLEA_top_49
5	SLEA_top_50
6	SLEA_bottom_01
6	SLEA_bottom_02
6	SLEA_bottom_03
6	SLEA_bottom_04
6	SLEA_bottom_05
6	SLEA_bottom_06
6	SLEA_bottom_07
6	SLEA_bottom_08
6	SLEA_bottom_09
6	SLEA_bottom_10
6	SLEA_bottom_11
6	SLEA_bottom_12
6	SLEA_bottom_13
6	SLEA_bottom_14
6	SLEA_bottom_15
6	SLEA_bottom_16
6	SLEA_bottom_17
6	SLEA_bottom_18
6	SLEA_bottom_19
6	SLEA_bottom_20
6	SLEA_bottom_21
6	SLEA_bottom_22
6	SLEA_bottom_23
6	SLEA_bottom_24
6	SLEA_bottom_25
6	SLEA_bottom_26
6	SLEA_bottom_27
6	SLEA_bottom_28
6	SLEA_bottom_29
6	SLEA_bottom_30
6	SLEA_bottom_31
6	SLEA_bottom_32
6	SLEA_bottom_33
6	SLEA_bottom_34
6	SLEA_bottom_35
6	SLEA_bottom_36
6	SLEA_bottom_37
6	SLEA_bottom_38
6	SLEA_bottom_39
6	SLEA_bottom_40
6	SLEA_bottom_41
6	SLEA_bottom_42
6	SLEA_bottom_43
6	SLEA_bottom_44
6	SLEA_bottom_45
6	SLEA_bottom_46
6	SLEA_bottom_47
6	SLEA_bottom_48
6	SLEA_bottom_49
6	SLEA_bottom_50
4	DNasePeakNoPromoter_lowest_01
4	DNasePeakNoPromoter_lowest_02
4	DNasePeakNoPromoter_lowest_03
4	DNasePeakNoPromoter_lowest_04
4	DNasePeakNoPromoter_lowest_05
4	DNasePeakNoPromoter_lowest_06
4	DNasePeakNoPromoter_lowest_07
4	DNasePeakNoPromoter_lowest_08
4	DNasePeakNoPromoter_lowest_09
4	DNasePeakNoPromoter_lowest_10
4	DNasePeakNoPromoter_lowest_11
4	DNasePeakNoPromoter_lowest_12
4	DNasePeakNoPromoter_lowest_13
4	DNasePeakNoPromoter_lowest_14
4	DNasePeakNoPromoter_lowest_15
4	DNasePeakNoPromoter_lowest_16
4	DNasePeakNoPromoter_lowest_17
4	DNasePeakNoPromoter_lowest_18
4	DNasePeakNoPromoter_lowest_19
4	DNasePeakNoPromoter_lowest_20
4	DNasePeakNoPromoter_lowest_21
4	DNasePeakNoPromoter_lowest_22
4	DNasePeakNoPromoter_lowest_23
4	DNasePeakNoPromoter_lowest_24
4	DNasePeakNoPromoter_lowest_25
4	DNasePeakNoPromoter_lowest_26
4	DNasePeakNoPromoter_lowest_27
4	DNasePeakNoPromoter_lowest_28
4	DNasePeakNoPromoter_lowest_29
4	DNasePeakNoPromoter_lowest_30
4	DNasePeakNoPromoter_lowest_31
4	DNasePeakNoPromoter_lowest_32
4	DNasePeakNoPromoter_lowest_33
4	DNasePeakNoPromoter_lowest_34
4	DNasePeakNoPromoter_lowest_35
4	DNasePeakNoPromoter_lowest_36
4	DNasePeakNoPromoter_lowest_37
4	DNasePeakNoPromoter_lowest_38
4	DNasePeakNoPromoter_lowest_39
4	DNasePeakNoPromoter_lowest_40
4	DNasePeakNoPromoter_lowest_41
4	DNasePeakNoPromoter_lowest_42
4	DNasePeakNoPromoter_lowest_43
4	DNasePeakNoPromoter_lowest_44
4	DNasePeakNoPromoter_lowest_45
